,Summary,Text,generated summary
0,Taste wise it is a 6 star item,"The mouth says, ""How do I love thee, let me count the ways...""<br />If you like apple products a must have item.  The only draw back, shipping cost.  These are very heavy.","Great taste in your mouth!  Good price for you apple products, but shipping cost is too high.  Heavy! Good taste, good price! Great smell, great taste! Best apple product in the world, best apple juice in all the land! ""How do I love thee?"""
1,Great Support,"Arrived slightly thawed. My parents wouldn't accept it. However, the company was very helpful and issued a full refund.","Great price for this frozen treat! No parents would accept it! Great customer service, great price! Back to the page you came from, you can get it again! back to your page!Back to you page, we'll see you in a year!back to our page"
2,TART!,"The crust on these tarts are perfect.  My husband loves these, but I'm not so crazy about them.  They are just too sour/tart for my taste.  I'll eat the crust and hubby takes my filling.  My kids think they're great, so maybe it's just me.","Too sour/tart for my taste - I'll eat the crust and hubby takes my filling. My kids think they're great, so maybe it's just me. I love them!  I just don't like the sour tart taste.  My husband loves them."
3,Omaha Apple Tartlets,"These are absolutely scrumptuous!  My husband and I both love them, however, as another customer put it, they are expensive to ship!  The cost of shipping is more than the tartlets themselves are!","Tartlets are scrumptuous and very expensive to ship!  The cost of shipping is more than the tartlets themselves are! Great taste and great price for you and your husband, too! -   - -- - -- --- - --- -"
4,Loved these Tartlets,What a nice alternative to an apple pie. Love the fact there was no slicing and dicing. Easy to prepare. I also loved the fact that you can make them fresh whenever needed.,Great alternative to an apple pie. Easy to prepare and you can make them fresh whenever you need them. No need for slicing and dicing! Great alternative for you to your regular apple pies. Great way to start the day! You don't have to go to work!
5,The best,I like Creme Brulee. I loved that these were so easy. Just sprinkle on the sugar that came with and broil. They look amazing and taste great. My guess thought I really went out of the way for them when really it took all of 5 minutes. I will be ordering more!,"Great taste and easy to make! I will be ordering more of these! Just sprinkle on the sugar that came with and broil them up for you! YUMMY! Great Creme Brulee! Good taste, great price, yum yummy yUMM!"
6,disappointing,not what I was expecting in terms of the company's reputation for excellent home delivery products, delivery products - not what I was expecting. Great home delivery product - great price - good delivery. Good customer service - very good value - and great customer satisfaction - excellent product. - it's all good - you can't go wrong - I love it! -  
7,Wasting Vinegar on a Cucumber is a Shame!,"I first bought pickled asparagus at an Amish market and it was love at first bite. Hence, when I saw these on the discount rack at the local Safeway I cleaned it out.  These are even better than the ones from the Amish market. They are fantastic, and some of the jars have a bonus clove of garlic at the bottom. I'm going to order the six pack and I'm a household of one. They wont go to waste!","Great pickled asparagus at the local Safeway! Great price for you and you'll never go waste! I'm going to order the six pack and I'll be a household of one! Good price, great taste, and great price! You can't go wrong!"
8,Asparagus Bliss,"I love asparagus.  Up until very recently, I had never had pickled asparagus.  Oh my goodness, when a friend introduced me to this exact brand, I couldn't believe how great stuff tasted.  I loved it so much I bought the six pack.  I've got 2 jars left.  Gonna need more!!","Great asparagus pickled pickles! Great taste and great taste! I've got 2 more jars left!  Gonna need more!!  I love it.  Good stuff! Good taste, good taste. Gotta have more. I'm in love with it"
9,My Idea of a Good Diet Food.,"I'm presently on a diet and I was at my Fresh and Easy Neighborhood Grocery looking over possible diet foods. I wanted things that were tasty, non-fat and low in calories. I came home with about a dozen items. That's how I discovered the Tillen Farms Pickled Crispy Asparagus. Well, I've always liked asparagus anyway and I've enjoyed several brands of pickled asparagus. This Tillen Farms brand is really, really good! It's the best I can recall. There's an excellent flavor and a big clove of garlic down in  the bottom of the jar which I'm looking forward to eating. I can't believe how good this asparagus tastes and right on the front it says ""only 60 calories per jar!"" Now this is my idea of a good diet food!<br /><br />Gary Peterson",Tillen Farms Pickled Crispy Asparagus - YUMMY - 60 calories per jar! Good diet food for you and you can't go wrong - you'll love it! I like it - it's my idea of a good diet foods - yummy!
